Foundation_rank,HeatingQC_rank,ExterQual_rank,CentralAir_rank,PavedDrive_rank,HouseStyle_rank,Exterior2nd_rank,Neighborhood_rank,KitchenAbvGr,EnclosedPorch,ExterCond_rank,Exterior1st_rank,MSZoning_rank,KitchenQual_rank,BldgType_rank,Functional_rank,Heating_rank,MSSubClass,OverallCond,Condition1_rank,Street_rank,YrSold,LowQualFinSF,MiscVal,BsmtHalfBath,Utilities_rank,BsmtFinSF2,Condition2_rank,RoofMatl_rank,3SsnPorch,MoSold,LandSlope_rank,SaleType_rank,LandContour_rank,PoolArea,LotConfig_rank,ScreenPorch,SaleCondition_rank,RoofStyle_rank,BedroomAbvGr,BsmtUnfSF,BsmtFullBath,LotArea,LotShape_rank,HalfBath,OpenPorchSF,2ndFlrSF,WoodDeckSF,BsmtFinSF1,Fireplaces,YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,GrLivArea,OverallQual
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,60,5,1,1,2008,0,0,0,1,0,1,1,0,2,1,1,1,0,1,0,1,1,3,150,1,8450,1,1,61,854,0,706,0,2003,2003,8,2,856,856,548,2,1710,7
2,1,2,1,1,2,2,2,1,0,1,2,1,2,1,1,1,20,8,2,1,2007,0,0,1,1,0,1,1,0,5,1,1,1,0,2,0,1,1,3,284,0,9600,1,0,0,0,298,978,1,1976,1976,6,2,1262,1262,460,2,1262,6
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,60,5,1,1,2008,0,0,0,1,0,1,1,0,9,1,1,1,0,1,0,1,1,3,434,1,11250,2,1,42,866,0,486,1,2002,2001,6,2,920,920,608,2,1786,7
3,2,2,1,1,1,3,3,1,272,1,3,1,1,1,1,1,70,5,1,1,2006,0,0,0,1,0,1,1,0,2,1,1,1,0,3,0,2,1,3,540,1,9550,2,0,35,756,0,216,1,1970,1915,7,1,961,756,642,3,1717,7
1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,60,5,1,1,2008,0,0,0,1,0,1,1,0,12,1,1,1,0,2,0,1,1,4,490,1,14260,2,1,84,1053,192,655,1,2000,2000,9,2,1145,1145,836,3,2198,8
4,1,2,1,1,3,1,5,1,0,1,1,1,2,1,1,1,50,5,1,1,2009,0,700,0,1,0,1,1,320,10,1,1,1,0,1,0,1,1,1,64,1,14115,2,1,30,566,40,732,0,1995,1993,5,1,796,796,480,2,1362,5
1,1,1,1,1,2,1,6,1,0,1,1,1,1,1,1,1,20,5,1,1,2007,0,0,0,1,0,1,1,0,8,1,1,1,0,1,0,1,1,3,317,1,10084,1,0,57,0,255,1369,1,2005,2004,7,2,1694,1686,636,2,1694,8
2,1,2,1,1,1,4,7,1,228,1,4,1,2,1,1,1,60,6,3,1,2009,0,350,0,1,32,1,1,0,11,1,1,1,0,3,0,1,1,3,216,1,10382,2,1,204,983,235,859,2,1973,1973,7,2,1107,1107,484,2,2090,7
3,2,2,1,1,3,3,8,2,205,1,5,2,2,1,2,1,50,5,4,1,2008,0,0,0,1,0,1,1,0,4,1,1,1,0,1,0,2,1,2,952,0,6120,1,0,0,752,90,0,2,1950,1931,8,2,1022,952,468,2,1774,7
3,1,2,1,1,4,2,9,2,0,1,2,1,2,2,1,1,190,6,4,1,2008,0,0,0,1,0,2,1,0,1,1,1,1,0,3,0,1,1,2,140,1,7420,1,0,4,0,0,851,2,1950,1939,5,1,1077,991,205,1,1077,5
2,1,2,1,1,2,4,10,1,0,1,4,1,2,1,1,1,20,5,1,1,2008,0,0,0,1,0,1,1,0,2,1,1,1,0,1,0,1,2,3,134,1,11200,1,0,0,0,0,906,0,1965,1965,5,1,1040,1040,384,1,1040,5
1,1,3,1,1,1,3,11,1,0,1,6,1,3,1,1,1,60,5,1,1,2006,0,0,0,1,0,1,1,0,7,1,2,1,0,1,0,3,2,4,177,1,11924,2,0,21,1142,147,998,2,2006,2005,11,3,1182,1175,736,3,2324,9
2,3,2,1,1,2,5,10,1,0,1,4,1,2,1,1,1,20,6,1,1,2008,0,0,0,1,0,1,1,0,9,1,1,1,0,1,176,1,2,2,175,1,12968,3,0,0,0,140,737,0,1962,1962,4,1,912,912,352,1,912,5
1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,20,5,1,1,2007,0,0,0,1,0,1,1,0,8,1,2,1,0,1,0,3,1,3,1494,0,10652,2,0,33,0,160,0,1,2007,2006,7,2,1494,1494,840,3,1494,7
2,3,2,1,1,2,2,12,1,176,1,2,1,2,1,1,1,20,5,1,1,2008,0,0,0,1,0,1,1,0,5,1,1,1,0,3,0,1,2,2,520,1,10920,2,1,213,0,0,733,1,1960,1960,5,1,1253,1253,352,1,1253,6
3,1,2,1,1,4,6,9,1,0,1,3,2,2,1,1,1,45,8,1,1,2007,0,0,0,1,0,1,1,0,7,1,1,1,0,3,0,1,1,2,832,0,6120,1,0,112,0,48,0,0,2001,1929,5,1,854,832,576,2,854,7
2,1,2,1,1,2,6,12,1,0,1,3,1,2,1,1,1,20,7,1,1,2010,0,700,0,1,0,1,1,0,3,1,1,1,0,4,0,1,1,2,426,1,11241,2,0,0,0,0,578,1,1970,1970,5,1,1004,1004,480,2,1004,6
5,3,2,1,1,2,2,10,2,0,1,2,1,2,3,1,1,90,5,1,1,2006,0,500,0,1,0,1,1,0,10,1,1,1,0,1,0,1,1,2,0,0,10791,1,0,0,0,0,0,0,1967,1967,6,2,1296,0,516,2,1296,4
1,1,2,1,1,2,1,13,1,0,1,1,1,1,1,1,1,20,5,5,1,2008,0,0,0,1,0,1,1,0,6,1,1,1,0,1,0,1,1,3,468,1,13695,1,1,102,0,0,646,0,2004,2004,6,1,1114,1114,576,2,1114,5
2,3,2,1,1,2,5,12,1,0,1,5,1,2,1,2,1,20,6,1,1,2009,0,0,0,1,0,1,1,0,5,1,3,1,0,1,0,2,2,3,525,0,7560,1,0,0,0,0,504,0,1965,1958,6,1,1339,1029,294,1,1339,5
1,1,1,1,1,1,1,11,1,0,1,1,1,1,1,1,1,60,5,1,1,2006,0,0,0,1,0,1,1,0,11,1,2,1,0,3,0,3,1,4,1158,0,14215,2,1,154,1218,240,0,1,2006,2005,9,3,1158,1158,853,3,2376,8
